board_state,action
20000001000000,2
102000000010000,1
102000100000002,2
12000100002002,0
1000000200012012,2
1000220010212,0
1100200012212,0
101000210012212,0
1100211012212,0
101000221012212,1
3211020200110002,1
3321001200010002,0
1001000200213312,3
2001200021004120,3
2100210021004120,0
200132004220,3
2210032004300,3
2000210032004310,1
3110320043010000,3
3210320043100000,1
4320431000000000,0
1000205410,1
5410002000110000,1
5411002100100000,1
5412002000110000,1
5412002110100000,1
5412102100110000,2
5412012100020010,1
5412112100120000,3
5412221112000000,3
5412320012000001,3
5412320012001010,3
5412320012002010,3
5412321012002100,2
5412032102120021,3
5412321021202110,3
5412321021202201,1
5422322131000201,1
5432421201000200,3
5432421210002010,2
5432421200110021,2
5432421200120021,3
5432421212002101,2
5432421210120022,3
5432421222103000,3
5432421231103000,3
5432421232003001,3
5432421232003110,3
5432421232003210,1
5433432142000000,1
5433532102200000,3
5440532130010000,3
5510532131000000,3
6110532131000000,3
6200532131010000,1
6222531031000000,3
6320531031100000,3
6320531032001000,1
6420521031001000,0
6100540032201110,3
6100540033102100,3
6120540041002100,0
6000510044002221,3
6000510050003211,1
6111620030001000,1
7111320010000001,1
7112320010010000,1
7112320110000100,1
7112320111000002,3
7220321020002200,1
7320321030100000,3
7320321031000100,3
7321321031001000,2
7321132100310001,1
7432103200000100,2
7432013200200001,2
7432013200020101,2
7432013200022002,1
7443210300010000,3
7530213010000001,1
7541210010001000,2
7541002100011001,3
7541211010002000,3
7541220011002000,3
7541300020002001,1
7542300030100000,1
7542411000000000,2
7542004200010000,3
7542420010200000,2
7542004200120001,1
7553001200210000,3
7630120021000001,1
7631121021000000,2
7631112100210000,2
7631022110210000,2
7631003101210100,3
7631310112101000,1
7632311022000100,2
7632003200032001,2
7632013200030021,1
7643012310010000,2
7643112300020000,3
7643223020000100,3
7643331020001000,2
7643014100020001,1
7653011100020001,2
7653001202020001,2
7653001210030001,2
7653001200130011,2
7653001200131002,2
7653011200130012,1
7653012200130102,1
7653022200131002,1
7653122200130102,1
7653122201132002,2
7653112300230003,1
7654113401000000,1
7655123002000000,2
766012310020000,2
1077012300120000,2
118012300120000,2
128012300120000,1
238101300020000,1
1238001300120000,3
1238130012001000,2
1238021300120001,3
1238213012001010,2
1238021301120002,2
1238121300220002,2
1238121300130002,3
1238121313012000,3
1238121313112000,1
2338132321010000,1
2438112321010000,1
2438122320010100,1
2438122321110000,2
2438013302120010,1
2448012302021000,1
2448112302120000,2
258022302120001,1
358022301120001,2
358003300220101,1
358013300220011,0
58003303221111,1
1358013301220011,1
1358023300220111,1
1358023301220111,1
1358023302221011,1
2358033310220011,1
2458103310220011,1
2458203310220011,1
3458113300220011,2
3458102400030002,2
3458012400030102,2
3458012400130012,1
3458012401230002,1
3458023400030102,1
3458023411030002,1
3458123401130002,2
3458123400231002,2
3458123401230012,3
3458123412311200,2
3458123412310112,2
3458123412311022,3
3458123412311310,2
3458123412311131,2
3458123412311231,1
3458234412320001,2
3458023512321001,2
3458023512320012,3
3458235012321210,2
3458023512321121,1
3458234501220011,3
3458234513002010,3
3458234513102100,2
3458234511310021,1
3458234511320120,3
3458234523211200,2
3458234523210112,3
3458234523212201,2
3458234523211031,3
3458234523211311,1
3458344513220110,1
4558134501220110,2
468134500131002,1
2468034500130012,1
2468034510230002,2
2468034501230012,0
2068044503232112,2
268005513230222,1
1268035502331002,2
1268013600240012,0
68013602241112,2
68013600341122,0
2008006600441222,0
18006620441222,1
2218106610440022,0
18016620442222,0
1018006601443222,0
118006611443222,0
1018006612443222,2
28001701250323,0
1008002701150333,0
8012701151333,2
8012700251134,2
8012700251234,0
1008000701351234,2
2018000701351234,0
108000721151244,0
1008000722151244,2
18010703150125,2
18021703150125,1
1228031701260000,2
138031701260020,2
138031701261002,0
108013703161122,2
18013713160023,0
18103701161323,0
1018003701162323,0
118003711162323,2
1028003701262323,2
128003711262323,2
128103702262323,0
18012712362333,2
18012712361234,0
8011701262344,0
108001702262344,0
208011702262344,2
28002701360235,0
8000701361245,1
1138024710060005,2
238024700160025,0
38004720160325,0
38004710162325,2
38104700262325,0
8013710462335,2
8013701462245,0
8000712362255,2
18000712360036,0
1000800171247,0
10100181248,0
21111249,2
100002121249,0
100000000122349,2
1001000122349,3
1010100012002349,3
2010100012002349,2
121000100122349,3
1210100012012349,3
1210101012102349,3
1210200012112349,2
1121000201222349,2
221020200132349,0
1001002203132349,0
1012210132449,0
1012211132449,2
1101301230259,0
1111241259,0
1111242259,2
10000202240359,0
201202240359,0
10001202242359,0
102202242359,0
10212342359,3
100120012342359,3
1002120012342359,3
1201120012342359,2
1121001212342359,2
1221001212342359,3
1310120112342359,3
1310121112342359,2
131112212342359,2
131012312342359,3
1310123112342359,2
1131123112342359,2
1231123112342359,0
20123223442359,2
2123212352359,3
2100123212352359,2
121123212352359,3
1211123212352359,2
1122123212352359,2
1023123212352359,2
1123123212352359,2
1223123212352359,0
13122223452359,2
13112323452359,3
1301223023452359,0
10133122453459,2
1001014103453459,2
102014103453459,2
112014103453459,2
22014113453459,3
3100141013453459,0
101341023453459,2
2134123453459,3
2100134123453459,0
2000111124553459,0
2000110121153569,3
2100210022503569,3
2100211035003569,0
1000000032104669,2
101000003210479,0
10003222479,2
2000000100332479,2
2010100042479,0
12000101042479,0
2001101142479,0
102000101242479,2
12000111242479,0
2002001111242479,0
2211111242479,0
102201112242479,0
12211112242479,0
12212112242479,0
1002211112342479,2
12121212342479,3
1210121212342479,2
1121121212342479,3
2211121212342479,3
3201121212342479,3
3211121212342479,0
1001322223342479,0
2001122233343479,2
21012313443479,2
1021012301353479,2
121112301353479,0
1113312353479,0
1001010322453479,2
2011303453479,3
2000230134503479,0
100033514579,3
100100045104579,0
1000000011105679,2
1000010125679,0
2000000110125679,0
200111125679,3
100210021205679,3
1001210021205679,2
102002102125679,3
1200210021215679,2
12102121215679,2
1012012121215679,0
1101222325679,0
111122335679,3
220134005679,3
2000310034005679,0
210144005679,0
10210044015679,3
1000211051005679,3
1000220151005679,0
20120021016679,2
2001210220779,2
2001210130089,2
1002001200230089,0
1301231089,2
11301230189,0
101001240289,0
1000001001241289,2
101000101241289,2
2000111241289,2
2001102241289,0
2001101241389,2
12000201241389,3
1201200012401389,2
121002201241389,0
1002212341389,0
11002202342389,1
2211032210340089,0
11012222341389,1
2111122203341089,1
2111222213340089,2
212003301441089,0
12003312441189,0
112003302442189,1
2112023311440089,0
12113322441189,2
112002400350289,1
112022420350089,1
2112022401350089,0
12012412352189,1
1112222411350089,0
112112422351189,1
1212222411351089,1
1312212420350289,0
112032411353289,1
1112332411350289,2
122042402351289,0
12013404351389,0
12011404451389,2
112002400551389,0
12012401551389,0
12002412551389,0
12102402552389,1
1212232410550089,0
112102422551389,1
1112222413550189,0
1112122423551189,0
