board_state,action
10001000,2
10011,0
200000000000012,3
2100000000001200,1
2100120000000010,2
21001200001001,3
2100120010002000,2
21001200110002,3
2110120020002000,0
1000200011003210,1
1110220010003001,0
1000201011003211,1
1121221010003000,0
1000201011203211,1
1111222010103100,0
1001211012203111,0
1001211012203112,2
2202200130322,0
1002300132322,2
1202300130233,0
102100132234,0
10002110132234,3
1000210023103340,3
1000210023104401,0
110033024411,3
100200042005200,3
1010200042005200,3
2000200042005201,1
3301400050000010,1
3311400050000001,1
3312401050000000,3
4120410050010000,3
4120410151000000,1
5221510000000100,0
10002006221,0
100000001006321,3
1010000010006321,0
20000020106321,2
2010000216321,3
2000110021006321,3
2100200021006321,2
21000202216321,3
2100200031016321,3
2100200132006321,3
2100210132006321,3
2100220032106321,3
2100301032106321,3
2120310032106321,2
212103103216321,0
11212316432,2
102212316432,0
10222216442,3
120032106521,2
100001203216521,3
1010120032106521,3
2010120032106521,2
21021203216521,3
2110212032106521,3
2210212032106521,3
3101212032106521,0
3010222032106522,0
3010212033106522,3
3100212041206530,0
3000210042306531,0
3000211042006541,0
3000210042116541,0
3010210042106542,2
31012104216542,0
10013104326542,2
11013104326542,2
2013114326542,0
11214416543,3
100220015106543,3
1000300015116543,0
1000310010116643,3
1010310021007430,3
2100310021007430,0
2000310022107430,3
2000310031007431,0
1200042007431,3
1000200042107431,2
1001000204217431,3
2100200042107431,2
1021000204217431,3
1210201042107431,0
1000211043207431,3
1010220043207431,0
1100221043207431,1
1111222043327400,0
1101221043217432,0
1100221143227432,0
1101221043217433,0
1101221043227433,0
1110221143227433,0
1101222143227433,3
2101321043307440,0
2100321043317441,0
2110321043307442,0
2100322143307442,0
2101322043317442,3
2200330044127520,1
2212332044007502,0
2210330044107523,0
2200331044207523,0
2210330044107533,0
2200331044207533,1
2213332244307500,0
2200331144237532,1
2211332344327502,0
2201331144237533,0
2210331044227534,0
2210332044227534,0
2200331244327534,3
3001412053207534,0
3000411053317534,0
3000410153117544,0
3010410053127544,3
3100410053127551,3
3101410053127610,3
3200411053127610,1
3222411053107600,3
3320420053117600,0
3300420153207611,3
4000421153207620,0
100520053107631,0
101020063107631,3
2100200063107631,2
21100206317631,2
21001216317631,3
2100121016317631,0
211022107742,0
1010032207742,0
10132217742,0
110032227742,0
10110032207743,0
111032217743,3
2210033108430,0
210033118432,2
12100428432,3
1121042008432,2
101012100428432,3
2000121042208432,0
2010101043208432,2
121000204328432,3
1210210043208432,0
1200211143208432,0
1210211043218432,3
1210220243218432,3
1210321043218432,2
1121032143218432,3
2211321043218432,3
3201321043218432,3
3211321043218432,3
3221321043218432,3
3310321143218432,2
141032243218432,0
1001014244318432,0
11100241418542,2
2021241418542,3
2001212041418542,3
2101212041418542,3
2210212041418542,0
1000321042218552,3
1001321043108620,3
2010321043108620,3
2101321043108620,0
2100321043208621,0
2100320143108631,1
2112323143008600,0
2101320043128631,0
2110320143128631,1
2121323243018601,3
2121323243118610,0
2101322143328621,0
2101322243328621,3
2201332044208621,0
2201330044208632,0
2200331044218632,1
2211332244308601,1
2211332244318610,3
3210430053108610,1
3220441056018000,1
3221441056018000,1
3222441056018000,1
3222441156008010,3
3320520056008101,0
300320066018121,3
3100320071008121,0
410072018221,3
410072108311,0
410172008321,3
10420072008321,3
1001420072008321,3
2000420172008321,3
2001421072008321,3
2100421072108321,0
2010410073208321,3
2110410073208321,3
2200410073218321,3
3100410073218321,1
3232440070108000,1
3232441070008010,1
3232442070108000,3
3232520071108000,3
3232520072008001,3
3232520172008100,3
3232521072008101,1
3332521171108000,1
3332522171008100,1
3332522172008001,3
4321531072008100,1
4421521071008020,1
4421521071208010,0
4120541072208111,1
4121541072218110,3
4121541073118200,0
4100540073218222,3
4100540073218321,0
4010510074008432,1
4112553070018000,1
4112553171008000,3
4220631071008010,3
4300631071008110,3
4300631071008210,1
4420610072108000,1
4420611072108000,1
4420612072008100,3
5200612072108100,0
5210610072208110,0
5200611072218110,0
5200611172208111,0
5200611072218112,3
5210620073108220,3
5210620073108301,3
5210621073108310,1
5320642071008000,1
5330640071008010,3
5400640071108100,1
5510622070008000,3
6101630070008000,0
100700071008301,0
100000082008301,0
1010002009301,0
100010002009302,3
1000100020109320,3
1100100021009320,3
2000110021009320,0
2100100022009320,0
2000111022009320,0
2010110022109320,0
2000110022229320,0
2000110022019332,1
2131120223019000,0
2100110122029331,0
2010120122029331,0
2200100123129331,0
2001100122129431,3
2100200231209431,3
2120300031209431,0
210042309431,2
2114239431,3
210114239431,0
1200111239531,0
100200211239531,3
1001300022309531,0
1000310022009542,3
1000310031009542,2
1003110319542,2
101003101319542,2
102003101319542,2
12013101319542,3
1202131013109542,2
13013111319542,2
113013102319542,2
23113102319542,0
10012312429542,3
1000123112429542,2
201123112429542,3
2110123112429542,0
20211023319553,3
2000220124109630,0
220034119631,0
100220034109632,3
1000300134109632,3
1001310034109632,0
1110044119632,0
111044129632,3
10210051209632,3
1000210251209632,3
1010212051209632,0
1100201052309632,0
1100210052109642,0
1000221052109642,0
1010200053209642,0
1000211053209642,3
1000220053229642,0
1100220053209643,1
1123224053009610,3
2230341053009610,1
2232342053009600,0
2201340053309622,1
2231342253009610,1
2231342253109601,0
2210343153229611,1
2211343253219611,3
3210343253219620,0
210441053329631,0
201440053229641,3
2100500053319641,0
200210063309642,2
102002100649642,3
1200210064019642,2
12102106419642,2
112012106419642,0
2000001202229752,3
2010120032009752,2
21101200329752,0
20021110329753,0
1020001112329753,0
21001122329753,0
1020001222329753,0
1020101022339753,0
20201122309754,0
1020001032319754,3
1200110032319754,0
200211032319754,3
2000220132319754,0
1300033329754,0
1143329754,3
100200044209754,2
1100200529754,2
1001201529754,0
20000101139764,2
2001100239764,2
2020200239764,2
2000301239764,0
10201249764,2
11201249764,2
100002201249764,2
101000301249764,2
2100301249764,2
2101301249764,0
101211239765,0
100001221239765,3
1100120021239765,3
2000121021239765,2
1002012121239765,3
1200121121239765,2
1012012221239765,0
111322339765,0
100111022349765,2
1001213349765,2
11001201449765,2
2101200159765,0
100010239766,3
100012319770,3
110012319800,0
1000010022009831,0
110022019831,2
201319831,3
210013109831,2
100002101319831,2
1001002101319831,2
2012101319831,3
2000121113109831,0
20220023209832,2
2100302329832,0
1000212039843,2
1100201239843,2
1001001201239843,2
102001201239843,2
112001201239843,2
22001211239843,0
120001011239844,3
1200100022319850,0
1000200023309851,0
1100033309851,0
100100033309852,0
1110033309852,0
10110033319852,0
10111033319852,3
1000210143109852,0
1001210043119852,3
2001210043209852,0
10310043219852,3
1010310043219852,3
2001310043219852,3
2110310043219852,0
2100321043219852,1
2111322243509810,3
2211332043509810,0
2110322044509811,1
2111322044509811,1
2112322044509811,0
2111322044529811,1
2111322244519811,1
2111322244529811,3
2211332055209820,0
2200331055219831,1
2212332055319800,0
2201331055229831,1
2211332255319810,0
2211332155329811,1
2212332255319811,0
2210332255339812,3
3100430064019812,1
3111430264009801,1
3111430264019810,3
3210432164109810,1
3211432064209810,1
3211433164109800,1
3212433164109800,0
3202431064329811,1
3213433164119800,0
3210431064339812,0
3210432064339812,3
3210432064419812,1
3211432264419810,0
3211432164429811,1
3212432264419811,3
3212433165109820,0
3210433165129821,1
3211433265119821,1
3211433265129821,0
3212433165139821,3
3212441165139821,0
3222441165239821,2
1323005265239821,3
1323520165239821,2
1323152165239821,0
1003230166339831,3
1300231074109831,0
1000241074209831,0
1000201175209831,0
1000201075219832,2
1001002175219832,0
1100175329832,2
101000275329832,3
2010200075329832,2
21010275329832,2
221001275329832,3
3100120175329832,3
3110121075329832,3
3201121075329832,2
321112175329832,0
310110075329843,2
1031000275329843,0
10100175439843,3
1001200075439843,3
2000202075439843,3
2000300175439843,3
2000310175439843,3
2000321075439843,2
2132175439843,3
2001132175439843,2
121132175439843,0
100130175329854,3
1001131075329854,2
1002013175329854,2
112013175329854,0
1002021175429854,0
102121175429854,2
1012012275429854,0
110112275439854,3
2000230175439854,2
202023175439854,3
3010231075439854,2
1031023175439854,2
1131023175439854,0
1100124275439854,3
2100124275439854,2
121124275439854,0
1101122275539854,0
1101220275239864,2
1012002375239864,2
22012375239864,0
1012275349864,3
1010130075349864,3
2100130075349864,2
21101375349864,2
121002375349864,0
100013175339865,0
21175439865,2
10002275439865,2
1001375439865,3
1000131075439865,2
11013175439865,2
1002013175439865,3
1210131075439865,2
1121013175439865,2
1221013175439865,2
1131013175439865,2
1231013175439865,0
210114275439865,0
201111275539865,2
121012207639865,0
1120207339875,2
